Title,Price
N/A,N/A
"OPPO Find X5 Pro – Smartphone 5G, 12 Go RAM + 256 Go, Écran 6,7'' AMOLED WQHD+ 120Hz, 1 Milliard de Couleurs, 2 Capteurs Sony 50 MP,, 5000 mAh, IP68, Noir [version FR] (Reconditionné)",410
Samsung Smartphone Galaxy S10 (Hybrid SIM) 128GB - Noir (Reconditionné),235
"Xiaomi Redmi A3 Vert Forêt 3+64go 6,71"" 90hz HD+",71
"Xiaomi Smartphone Redmi 12, 128 Go, 4G, Grand écran de 6,79’’, Triple caméra arrière de 50MP avec IA, Batterie Haute capacité de 5000mAh, Bleu",103
"OPPO Find X5 Lite - Smartphone 256GB, 8GB RAM, Dual Sim, Black (Reconditionné)",199
"XIAOMI REDMI NOTE 13 4G, Ecran 6.67'', Batterie mAh 5000, Mémoire ROM 256GO,RAM 8GO, Android 13, Snapdragon®685, Midnight Black",153
SAMSUNG Galaxy A15 4GB+128GB (Bleu Nuit),143
SAMSUNG Galaxy A05s 4GB+64GB [Version Internationale] (Noir),113
Samsung Galaxy A15 4G Smartphone 128 Go Bleu nuit,143
